cell_key,microns_root_id
N:373879,864691136090135607
N:201858,864691135373893678
N:408486,864691135194387242
N:598774,864691135741608653
N:375326,864691135454412650
N:406597,864691136908951918
N:203428,864691135858491438
N:407267,864691135233511769
N:407376,864691135858491438
N:409774,864691135445972798
N:197048,864691135858491438
N:199883,864691135720832817
N:197775,864691135399584754
N:572767,864691135586390108
N:166859,864691135858491438
N:200721,864691136173941005
N:377443,864691135825874045
N:598424,864691135734534349
N:200523,864691135777840480
N:408931,864691135034407702
N:372649,864691136273924109
N:370474,864691135858491438
N:372421,864691135281043105
N:208325,864691136246814605
N:404782,864691136285964588
N:369908,864691135948379684
N:210344,864691135939405057
N:205774,864691135283523398
N:205049,864691136113478878
N:204873,864691136380797141
N:205533,864691135564545047
N:406127,864691135741073771
N:373378,864691136923735524
N:676665,864691135976472576
N:204335,864691135915923814
N:204359,864691136277480845
N:206866,864691136053201395
N:152813,864691136239314236
N:190151,864691135275621605
N:189083,864691135697331897
N:189419,864691135440742728
N:189115,864691135738006641
N:156155,864691135213116544
N:191237,864691135440742728
N:190006,864691135885832304
N:191816,864691134606726885
N:569596,864691135865521285
N:382350,864691135544653864
N:190881,864691135754570189
N:153275,864691135463256477
N:153085,864691135748985641
N:186867,864691134917644042
N:409293,864691136433266078
N:161434,864691135570002310
N:196209,864691136084039276
N:160913,864691134843987622
N:165545,864691135538697586
N:159400,864691136057810136
N:192921,864691135274931941
N:410237,864691135192154063
N:192537,864691135584214136
N:192868,864691136520174308
N:410472,864691136433316766
N:193067,864691135590265355
N:567497,864691135449676228
N:410719,864691135217891023
N:192028,864691136121124221
N:414127,864691135182070274
N:382205,864691135980268353
N:570347,864691135375639741
N:192566,864691136020298744
N:598868,864691136911951089
N:193846,864691135578780933
N:193828,864691135969186405
N:193643,864691135590265355
N:159133,864691136966518478
N:410058,864691135224812239
N:194055,864691135703269400
N:227619,864691135387453569
N:225464,864691136809860462
N:584989,864691135578744883
N:227994,864691136309636954
N:609796,864691135583699064
N:363874,864691135699950114
N:670701,864691135811074200
N:393168,864691135455264362
N:193204,864691135858491438
N:611078,864691135462740798
N:711981,864691135342041285
N:196021,864691135858491438
N:582214,864691135092140141
