cell_key,cilium_length_um,centriole_dist_um,nucleus_volume_um3
N:706811,,,71.44
N:711647,,,43.77
N:404642,,,51.67
N:434743,,,362.82
N:154188,,,132.55
N:707116,,4.22,68.5
N:760530,,,50.95
N:153281,,,246.9
N:759823,,,30.51
N:756966,,,41.88
N:759957,,,324.81
N:151807,,,63.76
N:436928,,,173.68
N:437170,,,34.27
N:149501,,,235.04
N:150746,,,82.4
N:436329,,,58.76
N:150440,,,26.35
N:544613,,,30.3
N:436584,,,211.91
N:755484,,,49.35
N:401681,,,497.8
N:157464,,,209.08
N:432482,,,29.24
N:703420,,5.92,40.72
N:578826,,,138.9
N:754593,,,345.63
N:700129,,,47.28
N:578974,,,54.11
N:398813,,,297.25
N:431933,,,59.82
N:155020,,,157.32
N:546599,,,360.14
N:432338,,,403.67
N:153250,,,54.21
N:153333,,,355.77
N:109043,,3.01,41.23
N:154871,,3.18,45.38
N:758354,,,37.92
N:755755,,,214.88
N:545982,,,51.47
N:154556,,,228.83
N:432911,,,294.21
N:112974,,,138.55
N:754740,,,398.29
N:757633,,,240.37
N:431443,,,39.89
N:442660,,,48.75
N:764418,,,230.9
N:570294,,,91.04
N:717235,,,37.97
N:139304,,,143.8
N:138579,,,54.28
N:411494,,,246.69
N:570896,,,81.07
N:441272,,,89.92
N:573043,,,27.31
N:441388,,,54.51
N:764002,,,217.08
N:412154,,,31.72
N:439401,,,78.31
N:763637,,,236.06
N:766264,,,343.93
N:764222,,,273.47
N:540088,,,86.77
N:540236,,,196.24
N:135733,,,126.29
N:443166,,,194.19
N:569824,,,355.29
N:137513,,,304.86
N:88312,,,137.85
N:440495,,,75.3
N:414321,,0.38,38.6
N:413780,,,59.11
N:443928,,,97.28
N:145775,,,26.26
N:438099,,,300.41
N:146441,,,90.75
N:145514,,,91.32
N:438533,,,48.13
N:712038,,,51.5
N:145747,,,50.24
N:147411,,5.35,153.46
N:147987,,,87.3
N:147861,,,179.16
N:440285,,,76.08
N:440203,,,78.88
N:760771,,,139.62
N:438136,,,90.91
N:763454,,,174.38
N:440658,,,68.62
N:573732,,,67.6
N:438532,,,324.1
N:142189,,,52.81
N:542384,,,128.43
N:142532,,,118.28
N:571134,,,438.36
N:440630,,,35.62
N:763209,,,226.79
N:439153,,,95.64
N:437196,,,91.55
N:438869,,,46.02
N:574793,,,122.86
N:439672,,,79.14
N:439246,,,83.83
N:174451,,,97.77
N:422504,,,47.36
N:174585,,4.72,300.1
N:563135,,3.53,49.03
N:176594,,,241.71
N:563034,,,333.03
N:140021,,,85.22
N:140029,,,46.24
N:590604,,,397.01
N:593346,,,170.51
N:590163,,,44.73
N:175147,,,137.17
N:591849,,,121.49
N:178498,,,27.14
N:390551,,,218.66
N:590383,,1.7,32.7
N:178252,,,76.53
N:588838,,,88.79
N:560634,,,102.4
N:174488,,,123.5
N:136492,,5.21,58.01
N:589134,,,383.15
N:174370,,,209.03
N:393543,,,40.1
N:586907,,,377.93
N:173616,,,109.25
N:746184,,,651.83
N:587191,,,221.33
N:423493,,,200.8
N:172761,,,49.38
N:175749,,,27.07
N:590671,,,275.09
N:562703,,,130.98
N:183759,,,183.29
N:148762,,,78.06
N:183851,,,132.6
N:148150,,,56.33
N:182940,,,126.46
N:594451,,,227.41
N:182777,2.2,6.67,126.06
N:386478,,,101.01
N:386490,,3.19,77.85
N:417816,,,117.17
N:417688,,,36.29
N:185202,,,113.74
N:184848,,1.94,44.34
N:177611,,,76.17
N:417597,,,54.17
N:420968,,4.01,34.85
N:420884,,,212.67
N:420804,,,326.56
N:420681,,,375.48
N:420723,,,292.69
N:419075,,,192.03
N:596210,,,28.03
N:387614,,,54.42
N:417192,3.37,3.64,138.8
N:595789,,,99.86
N:595843,,,111.92
N:181047,,,47.35
N:593857,,,99.13
N:416428,,,48.81
N:580387,,,65.45
N:751068,,,247.01
N:163803,,,321.56
N:163732,,,50.25
N:164148,,,300.07
N:581107,,,266.04
N:164261,,,93.81
N:550728,,,383.9
N:750506,,,250.59
N:750481,,,392.96
N:750586,,,254.46
N:746126,,,373.4
N:428754,,,326.11
N:582636,,,371.2
N:165514,,,658.03
N:582213,,3.35,44.56
N:553408,,,319.91
N:554204,,,150.04
N:750409,,,250.46
N:165502,,,281.98
N:399518,,,321.96
N:579720,,,120.96
N:158267,,,45.29
N:431287,,,49.31
N:398467,,,239.85
N:427857,,,55.29
N:399339,,,276.17
N:124057,,,322.91
N:162114,,,269.92
N:574867,,,145.85
N:162522,,,253.59
N:586890,,,44.83
N:584171,,,305.74
N:695696,,,39.59
N:556807,,,44.87
N:170261,,,409.36
N:170509,,,38.56
N:557387,,,260.41
N:424040,,,57.26
N:423012,,,46.78
N:559431,,,47.59
N:424983,3.09,3.29,95.26
N:171469,,,41.91
N:587139,,,38.55
N:423529,,,39.93
N:133208,,,147.06
N:394142,,,226.31
N:169492,,,212.07
N:555765,,,125.09
N:166187,,,28.94
N:582197,,,38.39
N:166806,,,270.92
N:582974,,,43.32
N:167200,,,322.28
N:585236,3.45,2.47,163.48
N:169231,,,167.39
N:167402,,,252.31
N:169551,,,48.01
N:426617,,,39.57
N:129245,,,48.85
N:168850,,,260.98
N:302481,,3.66,42.76
N:609843,,,370.64
N:302649,,,75.83
N:302361,,,43.8
N:672202,,4.18,55.18
N:319412,,,43.55
N:302694,,,93.71
N:672689,,,42.54
N:622324,,,310.91
N:354634,,,221.89
N:302072,,,49.44
N:304098,,,329.72
N:268713,,,278.13
N:671097,,,31.41
N:303118,,,293.36
N:303790,,,63.59
N:299589,,1.32,110.21
N:320764,,,215.66
N:320776,,,72.81
N:622327,,,182.5
N:675697,,,46.78
N:298793,,,158.2
N:298632,,,31.31
N:355111,,1.41,53.88
N:354844,,4.37,76.75
N:301165,,,36.68
N:297920,,,38.71
N:641838,,,358.54
N:300596,,,213.46
N:308772,,,40.12
N:349372,,,137.83
N:667726,,,25.57
N:643734,,,338.04
N:349833,,,33.53
N:666129,,,424.74
N:310608,,,104.34
N:308292,,,47.71
N:350037,,,65.19
N:315369,,,479.27
N:274066,,,41.71
N:637471,,,523.1
N:666122,,,340.67
N:349877,,,124.3
N:307601,,,307.05
N:307775,,,30.44
N:669747,,,38.88
N:620676,,,54.77
N:305485,,,302.65
N:306086,,,114.9
N:270772,,,59.95
N:306137,,,49.54
N:669577,,,41.94
N:669709,,,578.05
N:304920,,,50.57
N:621055,,,269.15
N:668228,,5.8,55.58
N:317258,,,27.79
N:350387,,,33.93
N:305621,,,330.62
N:316587,,,507.08
N:305673,,,43.14
N:306280,,,40.99
N:306848,,,348.67
N:351931,,,64.13
N:289407,,,66.54
N:290010,,,25.49
N:680685,,,66.93
N:361141,,7.5,51.69
N:638135,,,253.32
N:283719,,1.31,46.8
N:361336,,,60.25
N:288949,,,56.07
N:283488,,,43.04
N:682621,,,83.33
N:254009,,,170.88
N:638133,,,224.83
N:292038,,,135.83
N:291969,,,35.04
N:255701,,,290.6
N:638824,,,571.51
N:290674,,3.77,51.81
N:254678,,,273.76
N:360489,,4.91,39.73
N:250986,,6.28,46.51
N:287266,,,102.41
N:287478,,,100.14
N:637451,,,620.86
N:286159,,,84.31
N:683986,,,108.87
N:287533,,,298.86
N:283673,,,128.43
N:680982,,,362.23
N:287974,,10.06,71.52
N:637556,,,553.22
N:287518,,,287.63
N:253157,,2.66,40.23
N:678021,,,362.17
N:674605,,,247.41
N:640801,,,93.12
